newid,id_original,date,comment,actual_song,actual_singer,song,singer,album,lyric,matching_fragments,cite_type,title,note,id_0123,fragment_number,lyric_number,matchlyric_number
0239,965,2013-05-20,71047,有可能的夜晚,曾轶可,有可能的夜晚,曾轶可,会飞的贼, 当你突然看我的时候 当话语开始多余的时候 当心慢慢靠近的时候 这时天刚好黑了 当我快忍不住的时候 当别人开始多余的时候 当爱悄悄来临的时候 这时天刚好黑了 无需言语无尽浪漫 无限可能的夜晚 让蜡烛代替所有灯 让音乐代替话语声 此时无声胜有声 如果要我开口 只能说一句话 让我成为你的有可能 让yes代替所有no 让勇敢代替所有酒 刚下眉头却上心头 如果要我选择 只能爱一个人 让我成为你的有可能 当你突然看我的时候 当话语开始多余的时候 当心慢慢靠近的时候 这时天刚好黑了 当我快忍不住的时候 当别人开始多余的时候 当爱悄悄来临的时候 这时天刚好黑了 无需言语无尽浪漫 无限可能的夜晚 让蜡烛代替所有灯 让音乐代替话语声 此时无声胜有声 如果要我开口 只能说一句话 让我成为你的有可能 让yes代替所有no 让勇敢代替所有酒 刚下眉头却上心头 如果要我选择 只能爱一个人 让我成为你的有可能 如果要我开口 只能说一句话 让我成为你的有可能,"此时无声胜有声, 下眉头却上心头, 此时无声胜有声, 下眉头却上心头",2,0,,219,14,363,28
0200,662,2011-09-20,66922,天龙八部之宿敌,许嵩,天龙八部之宿敌,许嵩,天龙八部之宿敌,会在何处见到你 莫非前尘已注定 飞过时空的距离 却囿于刀剑光影 三月春花渐次醒 迢迢年华谁老去 是劫是缘随我心 除了你万敌不侵 当恩怨各一半 我怎么圈揽 看灯笼血红染 寻仇已太晚 月下门童喟叹 昨夜太平长安 当天上星河转 我命已定盘 待绝笔墨痕干 宿敌已来犯 我借你的孤单 今生恐怕难还 缠扰孤岛的雪雨 飘飘洒洒谁来停 摘取一颗海上星 陪我终夜不孤寂 灵柩长埋深谷底 没有永远的秘密 染指江湖结悲局 无人逃得过宿命 当恩怨各一半 我怎么圈揽 看灯笼血红染 寻仇已太晚 月下门童喟叹 昨夜太平长安 当天上星河转 我命已定盘 待绝笔墨痕干 宿敌已来犯 我借你的孤单 今生恐怕难还 当恩怨各一半 我怎么圈揽 看灯笼血红染 寻仇已太晚 月下门童喟叹 昨夜太平长安 当天上星河转 我命已定盘 待绝笔墨痕干 宿敌已来犯 我借你的孤单 今生恐怕难还,"天上星河转, 天上星河转, 天上星河转",3,0,,182,5,316,15
0898,3469,2016-03-17,62826,水瓶,沈以诚,水瓶,沈以诚,某个集团,眼前的失落的言不由衷放弃的 片面的深刻的苟延残喘剩下的 你不懂也不问我心里焦不焦躁 你不言我不语反正我绝不主动 天倒下了我来扛  也不想变成大哲学家高处不胜寒自己头也大 即使心里有一万个问号也是需要自己来解答 隐忍博大虽然很有爱但是计算偶尔也会偏差 表面淡定什么都不怕 你不懂我 其实还放不下  嫌人多太冷漠最爱还是双子座 计划多变化多钟情用理性讲课 你不怪就不爱管它是什么年代 你不粘我会念有时候思想简单 天倒下了我来扛  也不想变成大哲学家高处不胜寒自己头也大 即使心里有一万个问号也是需要自己来解答 隐忍博大虽然很有爱但是计算偶尔也会偏差 表面淡定什么都不怕 你不懂我 其实还放不下,"高处不胜寒, 高处不胜寒",3,0,,841,5,270,10
0940,3573,2017-09-20,55985,望,小时姑娘,望,小时,望,回望  昨日海棠  沐浴晨光 含苞待放  犹记一抹斜阳 照你脸庞  扉半掩  两人遥相望  念念不忘  朝思暮想  你歌唱余音绕梁  那双迷离眼眶 明眸转笑嫣然 青睐有加让我心如鹿撞  我望眼欲穿  总思量  你身旁是我天堂  曾以为时光慢 来日方长 两情相悦如往常  道世事无常  生变幻  当头棒 猝不及防  你我曾如鸳鸯 儿女情长 执子之手盼白首共烛光  地老天荒  无望  秋草逢霜  饱沧桑  不复芬芳  那些地久天长 已成过往 翘首看  你不在身旁  念念不忘  可有回响  心已伤 百孔千疮  我已遍体鳞伤 仍然故作坚强 白发三千丈缘愁似个长 世事终无常  多变幻  你离家 为了梦想  孤身独去襄阳 我留周庄  从此后天各一方  无处话凄凉 鬓成霜  泪两行 把梦锁上  那些甜蜜时光 虽成过往 仍希望你可以落落大方  浅笑依然,"白发三千丈缘愁似个长, 无处话凄凉",2,0,,883,15,280,15
0635,2792,2010-08-19,4823,凤栖花,HITA,凤栖花,HITA,百变,陆：连麻雀都不忍心打搅，果然是花满楼啊。 花：不请自来，背后偷听，一定是陆小凤。 陆：呵，花满楼，你请我来，我又何必至于偷听呢？ 花：五音不全，不懂琴瑟之人，我又为何要请你听琴？ 陆：呵，听不听琴，倒不重要，关键要看你请不请人喝酒。 花：好酒是有，但我只请朋友。 陆：还好你有朋友，要不然你一个人喝酒，真是闷死啦。 花：反正有你在，我这辈子恐怕是闷不死的。 陆&花：呵呵……（相视而笑莫逆于心） （倒酒） 陆：好酒，酒美，人更美。 花：你想欺负我看不见呐？ 陆：花满楼，你实在太不可爱了。 春来时江水绿如蓝 风剪了杨柳氲河面 竹篙推扁舟入画卷 烟雨画江南，桃花映人面 青石板小桥十三阶 孟河花灯烂映天边 愿为君数尽千百盏 中天明月满 执手共来话婵娟 江南三月看烟花 四月落英浸晚霞 临水清照弄蒹葭 熏风吹，细雨洒 只盼花满江楼幽香化清茶 百花酿，倾夜灯，鸾凤栖花  （前缘往事） 陆：花公子，这么巧啊？ 花：陆兄，昨晚一别，没想到这么快就见面了。 陆：你以为我会睡死啊？现在就死……我不甘心 花：陆兄果然聪明过人，不如让自己放轻松一点。（暗示）你是个让人很“舒服”的男人。 陆：未来的日子我要好好“享受”一番。（笑） 待秋时枫叶燃远山 风携了金碎落窗前 只为君拨动这心弦 中天明月圆 举杯再来话婵娟 江南八月酿桂花 九月重阳茱萸插 把臂登高望天涯 听风吹，看雨洒 只待花满江楼幽香化清茶 百花酿，倾夜灯，鸾凤栖花 江南三月看烟花 四月落英浸晚霞 八月十五酿桂花 九月九，茱萸插 待到花满江楼幽香化清茶 百花酿，倾夜灯，鸾凤栖花 陆：哎呀，我不得不相信缘分了，我只是信步一走，便碰到了花公子。 （走近） 陆：我刚才迫不及待…… 花：我等这一天也等了好久了…… 陆&花：呵呵…… 陆：嗳呀~花兄啊~嗳~这河灯可真难数啊，刚才我数到了那边，你听我给你数啊~三十六~~ （内心独白）  花：我的感觉很奇怪，说不好……呵……或许这就是一种缘分吧。  陆：自作孽不可活。,江水绿如蓝,3,0,,586,15,262,5
0611,2719,2011-04-01,43437,千百度,许嵩,千百度,许嵩,苏格拉没有底,关外野店烟火绝客怎眠  寒来袖间谁为我添两件  三四更雪风不减吹袭一夜 只是可怜瘦马未得好歇  怅然入梦梦几月醒几年  往事凄艳用情浅两手缘  鹧鸪清怨听得见飞不回堂前  旧楹联红褪墨残谁来揭  我寻你千百度日出到迟暮 一瓢江湖我沉浮  我寻你千百度又一岁荣枯 可你从不在灯火阑珊处  怅然入梦梦几月醒几年  往事凄艳用情浅两手缘  鹧鸪清怨听得见飞不回堂前 旧楹联红褪墨残谁来揭  我寻你千百度日出到迟暮 一瓢江湖我沉浮  我寻你千百度又一岁荣枯  可你从不在灯火阑珊处  我寻你千百度日出到迟暮 一瓢江湖我沉浮  我寻你千百度又一岁荣枯  你不在灯火阑珊处,"在灯火阑珊处, 在灯火阑珊处, 在灯火阑珊处",3,0,,564,6,240,18
0875,3413,2017-11-11,41405,项羽虞姬,毛不易,项羽虞姬,毛不易,项羽虞姬,编曲：韦伟 长夜漫漫声声楚歌残 草长处月碎大河蓝 依稀旧梦幕幕总纠缠 不忍看不忍看 挥刀斩尽万古愁 奈何断水水更流 宿命欲催英雄瘦 不改天命誓不休 再歌一曲哪怕风急雨骤 角声阵阵相思写满袖 金戈铁马旧烈酒喝不够 梦里见你在桥头 情生两端绿野水向南 林深处岁月不流转 倩影青衫弦上月已满 风也轻云也淡 藤上飞鸟来又走 晚钟催红相思豆 英雄做刀妾作酒 荡尽世间恶与丑 涤净苍生直至山明水秀 情深意重丝丝不能露 金戈铁马旧烈酒喝不够 梦里见你在桥头 深情不死终有重逢时候 湮灭千年不曾放开手 再看你眼眸光彩依旧 续写那万世千秋,断水水更流,3,0,,820,5,227,5
0634,2790,2016-05-17,2183,情藏,HITA,情藏,HITA,情藏,（合）花开断肠崖盛如火映颜如朝霞 （塔）与君携袖折花 （合）与子携手白发 （合）心遗落山崖几言妻书作伊人新嫁 十六载又或是一刹那 （义）我知卿如绿萼非我所钟不可不舍 （塔）我知君如川泽一曲惊蛰奈何奈何 （合）恨相逢却匆匆思无穷一场好梦 （塔）自从别后欲断肠 （义）一夕绿发成秋霜 （塔）不觉山中岁月长 （合）心有故乡（义：我心所向） （塔）未读过黯然篇章 （义）怕相思只是寻常 （合）化这一掌唯别证我情海沧桑 （合）花开断肠崖盛如火映颜如朝霞 （塔）与君携袖折花 （合）与子携手白发 （合）心遗落山崖几言妻书作伊人新嫁 十六载又或是一刹那 （义）我知卿本无双此生未能把酒当歌 （塔）我知风陵一见如露如电人生几何 （合）恨相逢却匆匆思无穷一场好梦 （塔）仗剑一别任疏狂 （义）从此江湖未敢忘 （塔）始觉山中岁月长 （合）鬓角星霜（义：所思悠长） （塔）已尝过黯然心伤 （义）怕相思只是寻常 （合）化这一掌唯痛将我一生情藏 （塔）知否非我所钟不可不舍奈何 （义）知否一曲情衷不可不舍奈何 （合）知否一世无双不可不舍奈何又奈何 （义）知否梦幻泡影不可不舍奈何 （塔）知否此生已误汤汤渡河 （合）恨相逢却匆匆思无穷入一场再不愿醒来的梦 （塔）仗剑一别任疏狂 （义）从此江湖未敢忘 （塔）不觉山中岁月长 （合）心有故乡（义：我心所向） （塔）未读过黯然篇章 （义）怕相思只是寻常 （合）化这一掌唯同你将我一生情藏,"相逢却匆匆, 相逢却匆匆, 相逢却匆匆",3,0,,585,10,438,15
0090,238,2005-06-29,37464,寂寞沙洲冷,周传雄,寂寞沙洲冷,周传雄,星空下的传说,自你走后心憔悴 白色油桐风中纷飞 落花似人有情这个季节 河畔的风放肆拼命的吹 无端拨弄离人的眼泪 那样浓烈的爱再也无法给 伤感一夜一夜 当记忆的线缠绕过往支离破碎 是慌乱占据了心扉 有花儿伴着蝴蝶孤燕可以双飞 夜深人静独徘徊 当幸福恋人寄来红色分享喜悦 闭上双眼难过头也不敢回 仍然拣尽寒枝不肯安歇 微带着后悔 寂寞沙洲我该思念谁 自你走后心憔悴 白色油桐风中纷飞 落花似人有情这个季节 河畔的风放肆拼命的吹 无端拨弄离人的眼泪 那样浓烈的爱再也无法给 伤感一夜一夜 当记忆的线缠绕过往支离破碎 是慌乱占据了心扉 有花儿伴着蝴蝶孤燕可以双飞 夜深人静独徘徊 当幸福恋人寄来红色分享喜悦 闭上双眼难过头也不敢回 仍然拣尽寒枝不肯安歇 微带着后悔 寂寞沙洲我该思念谁 当记忆的线缠绕过往支离破碎 是慌乱占据了心扉 有花儿伴着蝴蝶孤燕可以双飞 夜深人静独徘徊 当幸福恋人寄来红色分享喜悦 闭上双眼难过头也不敢回 仍然拣尽寒枝不肯安歇 微带着后悔 寂寞沙洲我该思念谁 仍然拣尽寒枝不肯安歇 微带着后悔 寂寞沙洲我该思念谁 ISRCTW-A75-05-00203,"尽寒枝不肯, 尽寒枝不肯, 尽寒枝不肯, 尽寒枝不肯",2,1,,85,6,412,23
0708,2984,2010-09-30,37252,第三十八年夏至,河图,第三十八年夏至,河图,第三十八年夏至, 衰草连横向晚晴 半城柳色半声笛 枉将绿蜡作红玉 满座衣冠无相忆 时光来复去  斜屏半倚拉长了光影 重彩朱漆斑驳了画意 一出纸醉金迷闹剧 一袭染尽红尘的衣 唱罢西厢谁盼得此生相许 灯下的影粉饰着回忆 老旧唱机轮回了思绪 一封泛黄褶皱的信 一支勾勒眉角的笔 花腔宛转着应和陈年的曲 衣香鬓影掩过了几声叹息 冷眼看过了霓虹几场别离 他还演着那场郎骑竹马来的戏 他还穿着那件花影重叠的衣 他还陷在那段隔世经年的梦 静静和衣睡去不理朝夕       灯下的影粉饰着回忆 老旧唱机轮回了思绪 一封泛黄褶皱的信 一支勾勒眉角的笔 花腔宛转着应和陈年的曲 衣香鬓影掩过了几声叹息 冷眼看过了霓虹几场别离 他还演着那场郎骑竹马来的戏 他还穿着那件花影重叠的衣 他还陷在那段隔世经年的梦 静静和衣睡去不理朝夕 他演尽了悲欢也无人相和的戏 那烛火未明摇曳满地的冷清 他摇落了繁花空等谁记起 为梦送行的人仍未散去  还有谁陪我痴迷看这场旧戏 还有谁为我而停谁伴我如衣,"郎骑竹马来, 郎骑竹马来",3,0,,658,10,376,10
